id,Bayesian,proba_0,proba_1
20800,0,1.0,3.4893994758392454e-126
20801,1,2.4180571149111175e-35,1.0
20802,1,7.705353046956412e-23,1.0
20803,0,1.0,9.968499307108238e-100
20804,1,1.5513982823362267e-11,0.9999999999845386
20805,1,2.9676393206756015e-33,1.0
20806,0,0.9999066859070876,9.331409289101088e-05
20807,0,0.9999987526415274,1.2473587982521623e-06
20808,1,1.0569323237721516e-09,0.9999999989431672
20809,1,0.33627167509088296,0.6637283249091195
20810,1,3.3589311067216067e-221,1.0
20811,1,1.1860754849260826e-16,1.0
20812,1,6.664445211838409e-72,1.0
20813,1,0.0,1.0
20814,1,6.058158363131586e-14,1.0
20815,0,1.0,2.2637537835211297e-42
20816,0,1.0,2.0145959933529438e-190
20817,0,1.0,1.3258638010309088e-35
20818,1,5.168862584623482e-16,1.0
20819,0,0.9869029388269276,0.013097061173140946
20820,1,3.029772189598464e-17,1.0
20821,1,0.21634155296811344,0.7836584470318935
20822,1,9.856678265003331e-92,1.0
20823,1,1.1595915740751347e-07,0.9999998840407965
20824,1,0.49795673076923086,0.5020432692307691
20825,0,1.0,1.6402394937335253e-34
20826,1,9.043794389851234e-17,1.0
20827,0,1.0,2.665884696126689e-85
20828,0,1.0,1.186975804497719e-292
20829,1,4.359631e-317,1.0
20830,1,0.026242508188286086,0.9737574918116225
20831,1,3.1859922993259144e-09,0.9999999968139832
20832,0,1.0,5.260420769843772e-72
20833,0,1.0,1.310242197799947e-53
20834,1,8.81972432003771e-08,0.9999999118026647
20835,0,1.0,2.4327344970917775e-131
20836,0,1.0,4.3966670594929015e-15
20837,1,6.64072744767016e-17,1.0
20838,1,4.878231720690624e-28,1.0
20839,0,1.0,7.508250821283213e-105
20840,0,1.0,7.612060079336517e-188
20841,0,0.9999999998817657,1.1842963674207047e-10
20842,1,1.0656478782404738e-20,1.0
20843,0,1.0,8.18778954787135e-26
20844,0,1.0,2.0119400609075804e-96
20845,1,0.19946862397010345,0.8005313760298982
20846,0,1.0,1.27344168744868e-40
20847,0,0.9999999999854481,1.487301190482495e-11
20848,1,0.0032737409581838134,0.9967262590418076
20849,1,6.21573113154603e-41,1.0
20850,0,1.0,1.7375798130335168e-17
20851,1,8.075957907980785e-18,1.0
20852,0,1.0,5.1779661892821993e-82
20853,1,0.023753409774787963,0.9762465902250441
20854,1,0.005364914619439622,0.9946350853805572
20855,0,1.0,1.6034863919928474e-15
20856,1,0.00025618807636916514,0.9997438119236337
20857,0,1.0,3.799025978225029e-86
20858,0,1.0,6.830226672605587e-56
20859,0,1.0,4.909023348197058e-39
20860,1,8.832561388003115e-56,1.0
20861,1,2.1414486989612453e-35,1.0
20862,1,1.1302404786637138e-188,1.0
20863,0,1.0,3.822154044403374e-27
20864,1,4.438994488092501e-07,0.9999995561007456
