id,k_neighbor,proba_0,proba_1
20800,0,1.0,0.0
20801,1,0.0,1.0
20802,1,0.0,1.0
20803,0,0.6,0.4
20804,1,0.0,1.0
20805,1,0.2,0.8
20806,1,0.4,0.6
20807,0,0.8,0.2
20808,1,0.4,0.6
20809,1,0.0,1.0
20810,1,0.0,1.0
20811,1,0.2,0.8
20812,1,0.4,0.6
20813,1,0.0,1.0
20814,1,0.2,0.8
20815,0,1.0,0.0
20816,0,0.8,0.2
20817,0,0.8,0.2
20818,1,0.0,1.0
20819,0,0.6,0.4
20820,0,0.6,0.4
20821,1,0.0,1.0
20822,1,0.0,1.0
20823,1,0.0,1.0
20824,1,0.0,1.0
20825,0,1.0,0.0
20826,1,0.0,1.0
20827,0,1.0,0.0
20828,1,0.2,0.8
20829,1,0.0,1.0
20830,0,0.6,0.4
20831,1,0.0,1.0
20832,1,0.2,0.8
20833,0,1.0,0.0
20834,1,0.4,0.6
20835,0,0.8,0.2
20836,1,0.4,0.6
20837,0,0.6,0.4
20838,1,0.0,1.0
20839,0,1.0,0.0
20840,0,1.0,0.0
20841,0,0.6,0.4
20842,1,0.2,0.8
20843,0,0.8,0.2
20844,0,1.0,0.0
20845,1,0.0,1.0
20846,0,0.8,0.2
20847,0,1.0,0.0
20848,1,0.0,1.0
20849,1,0.2,0.8
20850,0,0.6,0.4
20851,1,0.2,0.8
20852,0,1.0,0.0
20853,0,0.6,0.4
20854,1,0.4,0.6
20855,0,1.0,0.0
20856,1,0.0,1.0
20857,0,0.8,0.2
20858,1,0.4,0.6
20859,0,0.6,0.4
20860,1,0.0,1.0
20861,1,0.0,1.0
20862,1,0.0,1.0
20863,0,0.6,0.4
20864,0,0.6,0.4
20865,1,0.0,1.0
20866,1,0.0,1.0
20867,1,0.2,0.8
20868,0,0.8,0.2
20869,0,0.6,0.4
20870,1,0.0,1.0
20871,1,0.4,0.6
20872,1,0.0,1.0
20873,1,0.4,0.6
20874,0,1.0,0.0
20875,0,0.6,0.4
20876,0,1.0,0.0
20877,0,1.0,0.0
20878,1,0.2,0.8
20879,1,0.4,0.6
20880,0,1.0,0.0
20881,1,0.2,0.8
20882,0,0.8,0.2
20883,1,0.0,1.0
20884,1,0.0,1.0
20885,1,0.4,0.6
20886,1,0.2,0.8
20887,0,1.0,0.0
20888,0,0.8,0.2
20889,1,0.2,0.8
20890,1,0.0,1.0
20891,0,1.0,0.0
20892,0,0.6,0.4
20893,0,1.0,0.0
20894,1,0.0,1.0
20895,0,0.8,0.2
20896,0,1.0,0.0
20897,0,0.8,0.2
20898,0,0.6,0.4
20899,1,0.2,0.8
20900,1,0.2,0.8
20901,1,0.4,0.6
20902,0,0.8,0.2
20903,0,1.0,0.0
20904,0,1.0,0.0
20905,0,1.0,0.0
20906,1,0.2,0.8
20907,0,1.0,0.0
20908,1,0.0,1.0
20909,1,0.0,1.0
20910,1,0.0,1.0
20911,0,0.8,0.2
20912,0,0.8,0.2
20913,0,1.0,0.0
20914,0,0.6,0.4
20915,0,1.0,0.0
20916,0,1.0,0.0
20917,1,0.0,1.0
20918,0,0.6,0.4
20919,1,0.0,1.0
20920,0,0.6,0.4
20921,0,0.8,0.2
20922,1,0.0,1.0
20923,1,0.2,0.8
20924,0,0.6,0.4
20925,1,0.0,1.0
20926,1,0.0,1.0
20927,1,0.4,0.6
20928,0,0.6,0.4
20929,0,1.0,0.0
20930,1,0.0,1.0
20931,0,1.0,0.0
20932,1,0.0,1.0
20933,0,1.0,0.0
20934,0,0.8,0.2
20935,0,0.8,0.2
20936,0,1.0,0.0
20937,1,0.0,1.0
20938,0,0.8,0.2
20939,1,0.2,0.8
20940,1,0.0,1.0
20941,0,0.6,0.4
20942,1,0.0,1.0
20943,1,0.0,1.0
20944,0,0.6,0.4
20945,0,0.8,0.2
20946,1,0.0,1.0
20947,0,0.6,0.4
20948,0,1.0,0.0
20949,0,1.0,0.0
20950,1,0.2,0.8
20951,1,0.2,0.8
20952,0,1.0,0.0
20953,1,0.4,0.6
20954,0,1.0,0.0
20955,0,0.6,0.4
20956,0,1.0,0.0
20957,1,0.2,0.8
20958,1,0.2,0.8
20959,1,0.0,1.0
20960,1,0.0,1.0
20961,1,0.2,0.8
20962,1,0.0,1.0
20963,1,0.0,1.0
20964,1,0.4,0.6
20965,1,0.0,1.0
20966,0,0.6,0.4
20967,0,0.8,0.2
20968,1,0.0,1.0
20969,0,1.0,0.0
20970,1,0.4,0.6
20971,0,1.0,0.0
20972,0,1.0,0.0
20973,1,0.4,0.6
20974,0,1.0,0.0
20975,1,0.4,0.6
20976,0,1.0,0.0
20977,0,0.6,0.4
20978,1,0.4,0.6
20979,0,0.6,0.4
20980,0,1.0,0.0
20981,0,0.8,0.2
20982,0,0.6,0.4
20983,1,0.2,0.8
20984,0,1.0,0.0
20985,1,0.0,1.0
20986,1,0.2,0.8
20987,0,1.0,0.0
20988,1,0.0,1.0
20989,0,1.0,0.0
20990,1,0.0,1.0
20991,0,1.0,0.0
20992,0,1.0,0.0
20993,0,0.6,0.4
20994,1,0.0,1.0
20995,1,0.0,1.0
20996,1,0.0,1.0
20997,1,0.0,1.0
20998,1,0.0,1.0
20999,0,0.8,0.2
21000,0,1.0,0.0
21001,1,0.0,1.0
21002,0,0.6,0.4
21003,1,0.0,1.0
21004,1,0.0,1.0
21005,0,0.6,0.4
21006,1,0.0,1.0
21007,1,0.2,0.8
21008,0,0.8,0.2
21009,1,0.4,0.6
21010,0,1.0,0.0
21011,1,0.4,0.6
21012,1,0.0,1.0
21013,0,1.0,0.0
21014,1,0.2,0.8
21015,1,0.0,1.0
21016,1,0.2,0.8
21017,0,1.0,0.0
21018,0,1.0,0.0
21019,1,0.0,1.0
21020,0,1.0,0.0
21021,1,0.0,1.0
21022,1,0.4,0.6
21023,1,0.4,0.6
21024,0,0.8,0.2
21025,1,0.2,0.8
21026,1,0.0,1.0
21027,1,0.0,1.0
21028,0,1.0,0.0
21029,0,1.0,0.0
21030,0,0.8,0.2
21031,0,1.0,0.0
21032,0,0.8,0.2
21033,1,0.4,0.6
21034,1,0.0,1.0
21035,1,0.4,0.6
21036,1,0.0,1.0
21037,1,0.4,0.6
21038,1,0.2,0.8
21039,0,0.6,0.4
21040,1,0.0,1.0
21041,1,0.0,1.0
21042,1,0.4,0.6
21043,1,0.0,1.0
21044,0,0.8,0.2
21045,0,0.6,0.4
21046,0,0.6,0.4
21047,1,0.0,1.0
21048,0,0.6,0.4
21049,1,0.4,0.6
21050,1,0.2,0.8
21051,1,0.0,1.0
21052,1,0.0,1.0
21053,0,1.0,0.0
21054,1,0.0,1.0
21055,0,0.6,0.4
21056,1,0.2,0.8
21057,1,0.4,0.6
21058,0,0.6,0.4
21059,1,0.0,1.0
21060,0,0.6,0.4
21061,1,0.0,1.0
21062,1,0.4,0.6
21063,0,0.8,0.2
21064,1,0.4,0.6
21065,1,0.0,1.0
21066,0,0.6,0.4
21067,1,0.0,1.0
21068,0,0.6,0.4
21069,1,0.4,0.6
21070,0,0.8,0.2
21071,0,0.6,0.4
21072,1,0.2,0.8
21073,1,0.0,1.0
21074,0,1.0,0.0
21075,0,1.0,0.0
21076,0,1.0,0.0
21077,0,1.0,0.0
21078,0,1.0,0.0
21079,1,0.0,1.0
21080,0,0.6,0.4
21081,1,0.0,1.0
21082,1,0.4,0.6
21083,1,0.0,1.0
21084,0,0.6,0.4
21085,0,1.0,0.0
21086,0,1.0,0.0
21087,1,0.2,0.8
21088,1,0.0,1.0
21089,1,0.4,0.6
21090,0,1.0,0.0
21091,1,0.4,0.6
21092,0,1.0,0.0
21093,1,0.0,1.0
21094,1,0.0,1.0
21095,1,0.4,0.6
21096,1,0.0,1.0
21097,1,0.4,0.6
21098,1,0.0,1.0
21099,0,1.0,0.0
21100,0,1.0,0.0
21101,0,0.8,0.2
21102,0,0.6,0.4
21103,1,0.0,1.0
21104,1,0.0,1.0
21105,0,0.8,0.2
21106,0,0.6,0.4
21107,1,0.0,1.0
21108,0,0.6,0.4
21109,0,1.0,0.0
21110,0,1.0,0.0
21111,0,0.6,0.4
21112,1,0.4,0.6
21113,0,1.0,0.0
21114,0,0.8,0.2
21115,1,0.4,0.6
21116,0,1.0,0.0
21117,0,0.6,0.4
21118,0,1.0,0.0
21119,0,0.6,0.4
21120,0,1.0,0.0
21121,0,0.6,0.4
21122,0,1.0,0.0
21123,1,0.0,1.0
21124,0,1.0,0.0
21125,1,0.4,0.6
21126,1,0.0,1.0
21127,1,0.4,0.6
21128,0,1.0,0.0
21129,1,0.0,1.0
21130,1,0.4,0.6
21131,0,1.0,0.0
21132,1,0.0,1.0
21133,1,0.0,1.0
21134,0,0.6,0.4
21135,1,0.0,1.0
21136,0,0.8,0.2
21137,0,0.6,0.4
21138,0,1.0,0.0
21139,0,0.6,0.4
21140,1,0.4,0.6
21141,1,0.4,0.6
21142,1,0.0,1.0
21143,0,1.0,0.0
21144,1,0.0,1.0
21145,0,1.0,0.0
21146,1,0.2,0.8
21147,0,0.8,0.2
21148,1,0.2,0.8
21149,1,0.0,1.0
21150,0,0.8,0.2
21151,1,0.4,0.6
21152,1,0.2,0.8
21153,1,0.0,1.0
21154,0,1.0,0.0
21155,1,0.2,0.8
21156,0,0.6,0.4
21157,0,0.6,0.4
21158,1,0.2,0.8
21159,0,1.0,0.0
21160,1,0.2,0.8
21161,0,0.8,0.2
21162,1,0.0,1.0
21163,1,0.2,0.8
21164,1,0.2,0.8
21165,0,1.0,0.0
21166,1,0.0,1.0
21167,0,0.6,0.4
21168,1,0.4,0.6
21169,1,0.4,0.6
21170,0,1.0,0.0
21171,1,0.0,1.0
21172,1,0.4,0.6
21173,0,1.0,0.0
21174,1,0.2,0.8
21175,0,1.0,0.0
21176,0,0.6,0.4
21177,1,0.4,0.6
21178,0,1.0,0.0
21179,0,1.0,0.0
21180,0,1.0,0.0
21181,1,0.4,0.6
21182,1,0.0,1.0
21183,0,0.8,0.2
21184,1,0.0,1.0
21185,1,0.4,0.6
21186,0,0.8,0.2
21187,0,0.6,0.4
21188,0,1.0,0.0
21189,1,0.2,0.8
21190,1,0.0,1.0
21191,1,0.0,1.0
21192,1,0.2,0.8
21193,1,0.0,1.0
21194,0,1.0,0.0
21195,1,0.2,0.8
21196,1,0.4,0.6
21197,1,0.4,0.6
21198,0,0.6,0.4
21199,0,1.0,0.0
21200,0,1.0,0.0
21201,0,1.0,0.0
21202,0,1.0,0.0
21203,0,1.0,0.0
21204,1,0.4,0.6
21205,0,1.0,0.0
21206,0,0.6,0.4
21207,0,0.8,0.2
21208,0,1.0,0.0
21209,0,0.6,0.4
21210,1,0.4,0.6
21211,1,0.2,0.8
21212,1,0.4,0.6
21213,0,0.6,0.4
21214,0,0.8,0.2
21215,0,1.0,0.0
21216,0,1.0,0.0
21217,0,1.0,0.0
21218,0,0.8,0.2
21219,1,0.4,0.6
21220,0,1.0,0.0
21221,0,1.0,0.0
21222,1,0.0,1.0
21223,0,1.0,0.0
21224,0,0.6,0.4
21225,1,0.0,1.0
21226,0,1.0,0.0
21227,1,0.2,0.8
21228,0,0.8,0.2
21229,0,1.0,0.0
21230,0,1.0,0.0
21231,0,0.6,0.4
21232,0,1.0,0.0
21233,1,0.4,0.6
21234,0,1.0,0.0
21235,0,1.0,0.0
21236,0,1.0,0.0
21237,1,0.0,1.0
21238,1,0.4,0.6
21239,0,0.8,0.2
21240,1,0.0,1.0
21241,0,1.0,0.0
21242,1,0.0,1.0
21243,0,0.8,0.2
21244,0,1.0,0.0
21245,0,1.0,0.0
21246,0,0.6,0.4
21247,1,0.2,0.8
21248,1,0.2,0.8
21249,0,1.0,0.0
21250,1,0.2,0.8
21251,0,0.8,0.2
21252,0,0.6,0.4
21253,1,0.0,1.0
21254,0,0.6,0.4
21255,0,0.8,0.2
21256,0,1.0,0.0
21257,1,0.4,0.6
21258,1,0.0,1.0
21259,0,1.0,0.0
21260,0,0.8,0.2
21261,1,0.4,0.6
21262,0,0.8,0.2
21263,0,1.0,0.0
21264,1,0.2,0.8
21265,0,1.0,0.0
21266,0,0.8,0.2
21267,0,1.0,0.0
21268,0,1.0,0.0
21269,0,0.8,0.2
21270,0,0.8,0.2
21271,0,0.6,0.4
21272,0,1.0,0.0
21273,0,1.0,0.0
21274,1,0.4,0.6
21275,0,1.0,0.0
21276,1,0.0,1.0
21277,1,0.2,0.8
21278,0,1.0,0.0
21279,1,0.2,0.8
21280,0,0.6,0.4
21281,0,0.6,0.4
21282,1,0.2,0.8
21283,0,0.8,0.2
21284,0,1.0,0.0
21285,0,1.0,0.0
21286,1,0.4,0.6
21287,1,0.4,0.6
21288,1,0.2,0.8
21289,0,0.8,0.2
21290,0,1.0,0.0
21291,0,0.8,0.2
21292,0,0.8,0.2
21293,1,0.2,0.8
21294,0,1.0,0.0
21295,0,1.0,0.0
21296,0,1.0,0.0
21297,1,0.0,1.0
21298,1,0.2,0.8
21299,1,0.0,1.0
21300,1,0.2,0.8
21301,0,0.8,0.2
21302,0,1.0,0.0
21303,0,0.6,0.4
21304,1,0.4,0.6
21305,0,0.6,0.4
21306,0,0.6,0.4
21307,0,0.6,0.4
21308,0,0.8,0.2
21309,0,0.6,0.4
21310,1,0.2,0.8
21311,1,0.0,1.0
21312,1,0.0,1.0
21313,0,1.0,0.0
21314,0,1.0,0.0
21315,1,0.2,0.8
21316,0,0.8,0.2
21317,0,1.0,0.0
21318,0,0.8,0.2
21319,0,0.6,0.4
21320,0,0.8,0.2
21321,0,0.6,0.4
21322,1,0.0,1.0
21323,1,0.0,1.0
21324,0,0.8,0.2
21325,1,0.0,1.0
21326,0,1.0,0.0
21327,0,0.6,0.4
21328,1,0.0,1.0
21329,1,0.2,0.8
21330,1,0.0,1.0
21331,1,0.2,0.8
21332,1,0.2,0.8
21333,0,1.0,0.0
21334,1,0.0,1.0
21335,0,0.8,0.2
21336,1,0.0,1.0
21337,0,0.6,0.4
21338,1,0.4,0.6
21339,0,1.0,0.0
21340,1,0.4,0.6
21341,1,0.0,1.0
21342,1,0.4,0.6
21343,0,0.6,0.4
21344,0,1.0,0.0
21345,1,0.0,1.0
21346,0,1.0,0.0
21347,0,1.0,0.0
21348,1,0.0,1.0
21349,0,1.0,0.0
21350,0,1.0,0.0
21351,1,0.2,0.8
21352,0,0.6,0.4
21353,1,0.4,0.6
21354,1,0.0,1.0
21355,0,1.0,0.0
21356,1,0.4,0.6
21357,1,0.4,0.6
21358,0,1.0,0.0
21359,1,0.4,0.6
21360,0,1.0,0.0
21361,1,0.2,0.8
21362,0,0.6,0.4
21363,0,0.6,0.4
21364,1,0.0,1.0
21365,0,0.6,0.4
21366,1,0.0,1.0
21367,1,0.0,1.0
21368,1,0.4,0.6
21369,0,1.0,0.0
21370,1,0.2,0.8
21371,0,1.0,0.0
21372,1,0.0,1.0
21373,1,0.2,0.8
21374,0,0.8,0.2
21375,0,1.0,0.0
21376,1,0.2,0.8
21377,1,0.4,0.6
21378,0,0.6,0.4
21379,0,1.0,0.0
21380,1,0.4,0.6
21381,0,1.0,0.0
21382,1,0.2,0.8
21383,1,0.0,1.0
21384,0,1.0,0.0
21385,1,0.0,1.0
21386,1,0.2,0.8
21387,1,0.0,1.0
21388,0,1.0,0.0
21389,1,0.0,1.0
21390,1,0.0,1.0
21391,1,0.4,0.6
21392,0,1.0,0.0
21393,0,1.0,0.0
21394,0,1.0,0.0
21395,0,1.0,0.0
21396,0,0.8,0.2
21397,0,0.8,0.2
21398,0,0.6,0.4
21399,0,1.0,0.0
21400,1,0.4,0.6
21401,1,0.4,0.6
21402,1,0.2,0.8
21403,1,0.2,0.8
21404,0,0.6,0.4
21405,0,0.8,0.2
21406,0,1.0,0.0
21407,1,0.0,1.0
21408,0,1.0,0.0
21409,1,0.0,1.0
21410,0,0.6,0.4
21411,1,0.0,1.0
21412,0,0.6,0.4
21413,0,1.0,0.0
21414,0,1.0,0.0
21415,1,0.0,1.0
21416,1,0.2,0.8
21417,1,0.2,0.8
21418,0,1.0,0.0
21419,1,0.4,0.6
21420,1,0.2,0.8
21421,0,1.0,0.0
21422,1,0.0,1.0
21423,0,1.0,0.0
21424,0,1.0,0.0
21425,1,0.0,1.0
21426,1,0.0,1.0
21427,1,0.4,0.6
21428,1,0.0,1.0
21429,0,1.0,0.0
21430,0,0.6,0.4
21431,1,0.0,1.0
21432,0,0.6,0.4
21433,0,0.6,0.4
21434,0,0.6,0.4
21435,0,0.6,0.4
21436,0,0.6,0.4
21437,1,0.0,1.0
21438,0,1.0,0.0
21439,1,0.0,1.0
21440,0,1.0,0.0
21441,1,0.0,1.0
21442,1,0.2,0.8
21443,1,0.4,0.6
21444,0,1.0,0.0
21445,1,0.4,0.6
21446,1,0.0,1.0
21447,0,1.0,0.0
21448,0,0.6,0.4
21449,1,0.2,0.8
21450,1,0.4,0.6
21451,1,0.0,1.0
21452,1,0.4,0.6
21453,1,0.2,0.8
21454,0,1.0,0.0
21455,1,0.2,0.8
21456,0,1.0,0.0
21457,1,0.4,0.6
21458,0,1.0,0.0
21459,0,1.0,0.0
21460,1,0.2,0.8
21461,0,0.6,0.4
21462,0,0.8,0.2
21463,0,0.6,0.4
21464,0,1.0,0.0
21465,0,1.0,0.0
21466,0,1.0,0.0
21467,0,1.0,0.0
21468,0,0.6,0.4
21469,0,1.0,0.0
21470,1,0.4,0.6
21471,1,0.2,0.8
21472,1,0.4,0.6
21473,1,0.4,0.6
21474,0,1.0,0.0
21475,0,1.0,0.0
21476,1,0.0,1.0
21477,1,0.0,1.0
21478,0,0.8,0.2
21479,1,0.4,0.6
21480,1,0.0,1.0
21481,0,1.0,0.0
21482,1,0.4,0.6
21483,1,0.2,0.8
21484,0,0.8,0.2
21485,1,0.2,0.8
21486,1,0.4,0.6
21487,1,0.0,1.0
21488,1,0.0,1.0
21489,0,1.0,0.0
21490,1,0.4,0.6
21491,0,1.0,0.0
21492,0,0.6,0.4
21493,1,0.0,1.0
21494,0,1.0,0.0
21495,0,0.6,0.4
21496,1,0.0,1.0
21497,1,0.4,0.6
21498,1,0.0,1.0
21499,0,0.8,0.2
21500,1,0.4,0.6
21501,0,1.0,0.0
21502,0,1.0,0.0
21503,0,0.6,0.4
21504,0,0.6,0.4
21505,1,0.0,1.0
21506,1,0.0,1.0
21507,0,1.0,0.0
21508,0,0.8,0.2
21509,1,0.4,0.6
21510,0,1.0,0.0
21511,1,0.0,1.0
21512,0,1.0,0.0
21513,1,0.4,0.6
21514,0,0.8,0.2
21515,0,1.0,0.0
21516,1,0.2,0.8
21517,1,0.0,1.0
21518,0,1.0,0.0
21519,0,1.0,0.0
21520,1,0.4,0.6
21521,1,0.4,0.6
21522,1,0.2,0.8
21523,1,0.0,1.0
21524,1,0.2,0.8
21525,0,1.0,0.0
21526,0,0.6,0.4
21527,0,0.8,0.2
21528,1,0.4,0.6
21529,0,1.0,0.0
21530,0,0.6,0.4
21531,0,0.6,0.4
21532,0,1.0,0.0
21533,0,1.0,0.0
21534,0,1.0,0.0
21535,0,1.0,0.0
21536,0,1.0,0.0
21537,1,0.0,1.0
21538,1,0.0,1.0
21539,0,0.8,0.2
21540,1,0.2,0.8
21541,1,0.2,0.8
21542,0,0.6,0.4
21543,0,0.8,0.2
21544,0,0.6,0.4
21545,0,0.8,0.2
21546,1,0.4,0.6
21547,0,0.8,0.2
21548,0,1.0,0.0
21549,0,0.8,0.2
21550,1,0.0,1.0
21551,1,0.0,1.0
21552,0,0.8,0.2
21553,0,0.6,0.4
21554,0,0.8,0.2
21555,0,0.6,0.4
21556,0,0.6,0.4
21557,0,1.0,0.0
21558,1,0.0,1.0
21559,1,0.2,0.8
21560,0,0.6,0.4
21561,0,1.0,0.0
21562,0,0.8,0.2
21563,0,1.0,0.0
21564,1,0.0,1.0
21565,1,0.2,0.8
21566,0,1.0,0.0
21567,1,0.2,0.8
21568,0,0.6,0.4
21569,1,0.2,0.8
21570,1,0.2,0.8
21571,1,0.0,1.0
21572,1,0.4,0.6
21573,1,0.0,1.0
21574,0,0.8,0.2
21575,0,0.6,0.4
21576,0,1.0,0.0
21577,1,0.4,0.6
21578,1,0.0,1.0
21579,1,0.4,0.6
21580,0,0.8,0.2
21581,1,0.0,1.0
21582,1,0.0,1.0
21583,1,0.2,0.8
21584,1,0.0,1.0
21585,1,0.0,1.0
21586,0,1.0,0.0
21587,0,1.0,0.0
21588,0,0.6,0.4
21589,0,1.0,0.0
21590,0,1.0,0.0
21591,1,0.0,1.0
21592,0,1.0,0.0
21593,1,0.0,1.0
21594,1,0.0,1.0
21595,0,1.0,0.0
21596,0,1.0,0.0
21597,1,0.0,1.0
21598,0,1.0,0.0
21599,1,0.2,0.8
21600,1,0.4,0.6
21601,0,0.6,0.4
21602,1,0.4,0.6
21603,1,0.4,0.6
21604,0,1.0,0.0
21605,0,0.8,0.2
21606,1,0.4,0.6
21607,1,0.2,0.8
21608,1,0.4,0.6
21609,1,0.0,1.0
21610,1,0.0,1.0
21611,1,0.2,0.8
21612,1,0.4,0.6
21613,0,1.0,0.0
21614,0,0.6,0.4
21615,1,0.4,0.6
21616,0,1.0,0.0
21617,0,1.0,0.0
21618,1,0.4,0.6
21619,0,1.0,0.0
21620,0,1.0,0.0
21621,0,0.6,0.4
21622,1,0.4,0.6
21623,1,0.2,0.8
21624,1,0.2,0.8
21625,0,1.0,0.0
21626,1,0.0,1.0
21627,1,0.0,1.0
21628,1,0.2,0.8
21629,1,0.2,0.8
21630,0,0.8,0.2
21631,1,0.4,0.6
21632,0,0.6,0.4
21633,1,0.0,1.0
21634,1,0.4,0.6
21635,1,0.0,1.0
21636,0,0.8,0.2
21637,1,0.4,0.6
21638,1,0.2,0.8
21639,1,0.0,1.0
21640,0,0.6,0.4
21641,1,0.0,1.0
21642,0,1.0,0.0
21643,0,1.0,0.0
21644,0,0.8,0.2
21645,1,0.4,0.6
21646,1,0.4,0.6
21647,0,1.0,0.0
21648,1,0.4,0.6
21649,1,0.0,1.0
21650,1,0.0,1.0
21651,1,0.2,0.8
21652,0,0.6,0.4
21653,0,1.0,0.0
21654,1,0.0,1.0
21655,1,0.4,0.6
21656,0,0.6,0.4
21657,1,0.0,1.0
21658,1,0.0,1.0
21659,1,0.0,1.0
21660,0,1.0,0.0
21661,1,0.0,1.0
21662,0,1.0,0.0
21663,1,0.0,1.0
21664,1,0.2,0.8
21665,1,0.0,1.0
21666,1,0.2,0.8
21667,1,0.2,0.8
21668,1,0.2,0.8
21669,1,0.4,0.6
21670,1,0.4,0.6
21671,0,0.8,0.2
21672,0,1.0,0.0
21673,1,0.2,0.8
21674,1,0.0,1.0
21675,1,0.2,0.8
21676,0,1.0,0.0
21677,1,0.0,1.0
21678,1,0.0,1.0
21679,0,0.6,0.4
21680,0,0.8,0.2
21681,1,0.0,1.0
21682,1,0.4,0.6
21683,1,0.0,1.0
21684,0,0.6,0.4
21685,1,0.4,0.6
21686,1,0.0,1.0
21687,1,0.0,1.0
21688,1,0.0,1.0
21689,0,1.0,0.0
21690,1,0.0,1.0
21691,0,0.8,0.2
21692,1,0.2,0.8
21693,0,1.0,0.0
21694,0,1.0,0.0
21695,0,0.6,0.4
21696,0,1.0,0.0
21697,0,1.0,0.0
21698,0,0.8,0.2
21699,1,0.0,1.0
21700,1,0.2,0.8
21701,0,1.0,0.0
21702,1,0.4,0.6
21703,0,1.0,0.0
21704,1,0.2,0.8
21705,1,0.0,1.0
21706,0,1.0,0.0
21707,1,0.0,1.0
21708,1,0.4,0.6
21709,1,0.2,0.8
21710,0,1.0,0.0
21711,1,0.4,0.6
21712,1,0.0,1.0
21713,1,0.2,0.8
21714,1,0.0,1.0
21715,1,0.4,0.6
21716,1,0.4,0.6
21717,0,1.0,0.0
21718,1,0.2,0.8
21719,0,1.0,0.0
21720,0,1.0,0.0
21721,1,0.2,0.8
21722,1,0.0,1.0
21723,0,1.0,0.0
21724,1,0.4,0.6
21725,0,0.8,0.2
21726,1,0.2,0.8
21727,1,0.4,0.6
21728,0,0.6,0.4
21729,1,0.2,0.8
21730,1,0.2,0.8
21731,0,1.0,0.0
21732,1,0.0,1.0
21733,1,0.0,1.0
21734,0,1.0,0.0
21735,1,0.4,0.6
21736,0,1.0,0.0
21737,0,1.0,0.0
21738,1,0.2,0.8
21739,1,0.4,0.6
21740,1,0.0,1.0
21741,1,0.4,0.6
21742,1,0.0,1.0
21743,0,0.8,0.2
21744,1,0.0,1.0
21745,0,0.6,0.4
21746,1,0.0,1.0
21747,1,0.0,1.0
21748,1,0.2,0.8
21749,1,0.0,1.0
21750,0,0.6,0.4
21751,0,1.0,0.0
21752,0,1.0,0.0
21753,0,0.6,0.4
21754,1,0.4,0.6
21755,0,0.8,0.2
21756,1,0.0,1.0
21757,1,0.0,1.0
21758,1,0.2,0.8
21759,0,1.0,0.0
21760,0,0.6,0.4
21761,0,1.0,0.0
21762,1,0.0,1.0
21763,1,0.4,0.6
21764,0,1.0,0.0
21765,1,0.4,0.6
21766,1,0.0,1.0
21767,0,1.0,0.0
21768,0,1.0,0.0
21769,1,0.4,0.6
21770,0,1.0,0.0
21771,0,0.8,0.2
21772,0,1.0,0.0
21773,0,1.0,0.0
21774,1,0.0,1.0
21775,0,1.0,0.0
21776,0,1.0,0.0
21777,0,1.0,0.0
21778,1,0.0,1.0
21779,0,0.8,0.2
21780,0,1.0,0.0
21781,0,1.0,0.0
21782,1,0.2,0.8
21783,1,0.2,0.8
21784,1,0.4,0.6
21785,0,0.6,0.4
21786,0,1.0,0.0
21787,0,0.8,0.2
21788,1,0.2,0.8
21789,1,0.2,0.8
21790,1,0.2,0.8
21791,0,1.0,0.0
21792,1,0.4,0.6
21793,1,0.2,0.8
21794,1,0.0,1.0
21795,0,1.0,0.0
21796,1,0.2,0.8
21797,0,1.0,0.0
21798,1,0.0,1.0
21799,1,0.4,0.6
21800,0,0.8,0.2
21801,1,0.2,0.8
21802,1,0.2,0.8
21803,1,0.2,0.8
21804,0,0.8,0.2
21805,0,1.0,0.0
21806,1,0.4,0.6
21807,1,0.2,0.8
21808,1,0.2,0.8
21809,1,0.0,1.0
21810,1,0.2,0.8
21811,1,0.0,1.0
21812,0,1.0,0.0
21813,0,0.8,0.2
21814,0,0.6,0.4
21815,0,1.0,0.0
21816,1,0.2,0.8
21817,0,0.6,0.4
21818,1,0.4,0.6
21819,0,1.0,0.0
