iter	Logloss
0	0.5811966319
1	0.4874437555
2	0.4438134798
3	0.4124146015
4	0.3880187213
5	0.3692950424
6	0.3574819157
7	0.3458850857
8	0.3376286716
9	0.322580343
10	0.3134449454
11	0.3067556582
12	0.2986147483
13	0.2932750995
14	0.2866060686
15	0.281284517
16	0.2757702001
17	0.2723458173
18	0.268775027
19	0.2652906181
20	0.2603782715
21	0.2550100578
22	0.2514683505
23	0.2485525397
24	0.2456961031
25	0.2432989934
26	0.2399163785
27	0.2381426638
28	0.235788617
29	0.2314870858
30	0.2275114395
31	0.2260332062
32	0.2241169458
33	0.2217790598
34	0.2191843013
35	0.2182832973
36	0.2166120922
37	0.2142856323
38	0.2124889171
39	0.2106866755
40	0.2085979331
41	0.207223097
42	0.2061383428
43	0.2040548642
44	0.1999725258
45	0.1988180564
46	0.1977149369
47	0.1958670005
48	0.1938448894
49	0.1916244974
50	0.1904820635
51	0.1867972616
52	0.1842460551
53	0.1825147676
54	0.1816749383
55	0.1788388539
56	0.1772829655
57	0.1764017741
58	0.1754272964
59	0.1748731184
60	0.1739868851
61	0.1710316911
62	0.1691779348
63	0.1678525503
64	0.1654618889
65	0.1638988384
66	0.162347549
67	0.160062059
68	0.1575041506
69	0.1558882676
70	0.154484911
71	0.1528762779
72	0.1516119277
73	0.1494179587
74	0.1485018372
75	0.1475133434
76	0.1466424323
77	0.1448048422
78	0.143501663
79	0.1425435047
80	0.1408434222
81	0.1396337982
82	0.1374783031
83	0.1359048193
84	0.1347554135
85	0.1339431846
86	0.1333688399
87	0.1325190065
88	0.1316649545
89	0.1303676259
90	0.1290080224
91	0.128274712
92	0.1268888086
93	0.1257862216
94	0.1251930624
95	0.123204618
96	0.121969713
97	0.1215371968
98	0.1208614529
99	0.120349385
100	0.1187764138
101	0.1182135132
102	0.1171069557
103	0.1162194662
104	0.1151852784
105	0.1146320821
106	0.114203022
107	0.112192605
108	0.1116874456
109	0.1104244538
110	0.1094681377
111	0.1076971853
112	0.1073779734
113	0.1061066748
114	0.1056733344
115	0.1050886669
116	0.1047185316
117	0.1044179186
118	0.1039466831
119	0.1031504592
120	0.1023311633
121	0.1017802602
122	0.1011634041
123	0.1008591602
124	0.1004002137
125	0.09933464072
126	0.09818564974
127	0.09712364871
128	0.09669739387
129	0.09606645182
130	0.09559026312
131	0.09486507486
132	0.09388453238
133	0.09364012051
134	0.09303405006
135	0.09258069702
136	0.09159534994
137	0.09127082988
138	0.0909096409
139	0.09066381165
140	0.09005658692
141	0.08943802135
142	0.08889370381
143	0.08818390702
144	0.08780517741
145	0.08730354155
146	0.08652989115
147	0.08609817737
148	0.08543137653
149	0.0842704628
150	0.08392176216
151	0.08319763761
152	0.08240795588
153	0.08211215065
154	0.08113239701
155	0.08070624316
156	0.0797358003
157	0.0795588679
158	0.07890409395
159	0.07843910527
160	0.07821479618
161	0.077715559
162	0.07662696739
163	0.07639251702
164	0.07618389057
165	0.07563354668
166	0.07551443249
167	0.07485176016
168	0.07454796779
169	0.07375239647
170	0.07318735349
171	0.07280844592
172	0.07219362938
173	0.07176851026
174	0.07124254076
175	0.07086302548
176	0.07049895601
177	0.07009279943
178	0.06931853634
179	0.06858978969
180	0.06806875837
181	0.06785427358
182	0.06748692421
183	0.06734144405
184	0.06710392525
185	0.06693060242
186	0.06653133168
187	0.06603376048
188	0.06538694514
189	0.06501420837
190	0.06458780999
191	0.06405737325
192	0.06385044993
193	0.06360222788
194	0.06333369747
195	0.06314658304
196	0.06282417047
197	0.06267091374
198	0.06239604044
199	0.06219525532
