iter	Passed	Remaining
0	167	33235
1	174	17279
2	183	12038
3	190	9353
4	199	7763
5	205	6656
6	212	5872
7	220	5284
8	227	4836
9	235	4480
10	243	4178
11	251	3936
12	259	3735
13	266	3546
14	273	3370
15	281	3235
16	287	3099
17	295	2989
18	301	2876
19	309	2784
20	318	2715
21	326	2640
22	333	2570
23	341	2504
24	348	2442
25	355	2382
26	363	2330
27	370	2275
28	378	2231
29	385	2182
30	393	2143
31	400	2102
32	408	2068
33	415	2028
34	423	1994
35	430	1959
36	436	1924
37	444	1894
38	451	1861
39	459	1836
40	466	1807
41	473	1783
42	482	1760
43	490	1738
44	496	1711
45	503	1686
46	510	1662
47	517	1638
48	524	1616
49	530	1592
50	538	1573
51	545	1551
52	552	1531
53	559	1511
54	566	1492
55	573	1474
56	580	1456
57	588	1441
58	596	1424
59	604	1410
60	611	1392
61	618	1377
62	626	1362
63	634	1347
64	642	1333
65	649	1318
66	658	1306
67	665	1291
68	672	1277
69	680	1263
70	687	1248
71	694	1233
72	701	1220
73	708	1206
74	715	1193
75	722	1179
76	729	1165
77	736	1152
78	743	1139
79	750	1126
80	757	1112
81	764	1100
82	771	1087
83	779	1076
84	786	1064
85	794	1053
86	801	1041
87	808	1029
88	815	1017
89	822	1005
90	830	994
91	837	982
92	845	972
93	852	961
94	861	952
95	869	941
96	877	932
97	885	921
98	893	911
99	901	901
100	909	891
101	917	881
102	925	871
103	934	862
104	943	854
105	953	845
106	962	836
107	971	827
108	980	818
109	988	809
110	997	799
111	1005	789
112	1012	779
113	1021	770
114	1033	763
115	1043	755
116	1051	746
117	1059	736
118	1068	726
119	1076	717
120	1085	708
121	1094	699
122	1103	690
123	1112	681
124	1120	672
125	1128	662
126	1137	654
127	1148	645
128	1157	637
129	1166	627
130	1174	618
131	1182	609
132	1191	599
133	1198	590
134	1210	582
135	1219	573
136	1226	563
137	1235	554
138	1243	545
139	1253	537
140	1261	527
141	1269	518
142	1277	509
143	1285	499
144	1292	490
145	1300	481
146	1308	471
147	1316	462
148	1325	453
149	1333	444
150	1342	435
151	1350	426
152	1359	417
153	1368	408
154	1377	399
155	1384	390
156	1392	381
157	1401	372
158	1409	363
159	1417	354
160	1425	345
161	1433	336
162	1442	327
163	1449	318
164	1458	309
165	1466	300
166	1475	291
167	1482	282
168	1491	273
169	1499	264
170	1508	255
171	1516	246
172	1525	238
173	1533	229
174	1543	220
175	1551	211
176	1562	203
177	1571	194
178	1579	185
179	1588	176
180	1595	167
181	1604	158
182	1614	149
183	1623	141
184	1631	132
185	1639	123
186	1647	114
187	1655	105
188	1663	96
189	1673	88
190	1680	79
191	1689	70
192	1696	61
193	1706	52
194	1714	43
195	1722	35
196	1731	26
197	1739	17
198	1747	8
199	1755	0
